 time            1           2
   0.00000000E+00  0.16734090E-01 -0.16737854E-01 
   0.26099980E+01 -0.18241736E+00  0.13716508E+00 
   0.26199980E+01 -0.18250726E+00  0.13724409E+00 
   0.26299980E+01 -0.18259555E+00  0.13732179E+00 
   0.26399980E+01 -0.18268219E+00  0.13739814E+00 
   0.26499979E+01 -0.18276714E+00  0.13747309E+00 
   0.26599979E+01 -0.18285038E+00  0.13754663E+00 
   0.26699979E+01 -0.18293189E+00  0.13761871E+00 
   0.26799979E+01 -0.18301170E+00  0.13768934E+00 
   0.26899979E+01 -0.18308978E+00  0.13775849E+00 
   0.26999979E+01 -0.18316266E+00  0.13782485E+00 
   0.27099979E+01 -0.18320940E+00  0.13788566E+00 
   0.27199979E+01 -0.18322936E+00  0.13794251E+00 
   0.27299979E+01 -0.18322344E+00  0.13799535E+00 
   0.27399979E+01 -0.18319239E+00  0.13804464E+00 
   0.27499979E+01 -0.18313664E+00  0.13809074E+00 
   0.27599978E+01 -0.18305643E+00  0.13813375E+00 
   0.27699978E+01 -0.18295187E+00  0.13817362E+00 
   0.27799978E+01 -0.18282312E+00  0.13821033E+00 
   0.27899978E+01 -0.18267003E+00  0.13824365E+00 
   0.27999978E+01 -0.18245810E+00  0.13824373E+00 
   0.28099978E+01 -0.18216364E+00  0.13818967E+00 
   0.28199978E+01 -0.18178762E+00  0.13808200E+00 
   0.28299978E+01 -0.18133153E+00  0.13792172E+00 
   0.28399978E+01 -0.18079658E+00  0.13770953E+00 
   0.28499978E+01 -0.18018366E+00  0.13744576E+00 
   0.28599977E+01 -0.17949355E+00  0.13713054E+00 
   0.28699977E+01 -0.17872706E+00  0.13676400E+00 
   0.28799977E+01 -0.17788506E+00  0.13634633E+00 
   0.28899977E+01 -0.17696851E+00  0.13587771E+00 
   0.28999977E+01 -0.17597844E+00  0.13535839E+00 
   0.29099977E+01 -0.17491591E+00  0.13478866E+00 
   0.29199977E+01 -0.17378204E+00  0.13416877E+00 
   0.29299977E+01 -0.17257799E+00  0.13349904E+00 
   0.29399977E+01 -0.17130500E+00  0.13277981E+00 
   0.29499977E+01 -0.16996433E+00  0.13201141E+00 
   0.29599977E+01 -0.16855730E+00  0.13119423E+00 
   0.29699976E+01 -0.16708529E+00  0.13032871E+00 
   0.29799976E+01 -0.16554971E+00  0.12941526E+00 
   0.29899976E+01 -0.16395201E+00  0.12845436E+00 
   0.29999976E+01 -0.16229373E+00  0.12744650E+00 
   0.30099976E+01 -0.16057640E+00  0.12639226E+00 
   0.30199976E+01 -0.15880165E+00  0.12529218E+00 
   0.30299976E+01 -0.15697108E+00  0.12414686E+00 
   0.30399976E+01 -0.15508641E+00  0.12295697E+00 
   0.30499976E+01 -0.15314932E+00  0.12172317E+00 
   0.30599976E+01 -0.15116160E+00  0.12044616E+00 
   0.30699975E+01 -0.14912498E+00  0.11912671E+00 
   0.30799975E+01 -0.14704132E+00  0.11776557E+00 
   0.30899975E+01 -0.14491241E+00  0.11636356E+00 
   0.30999975E+01 -0.14274012E+00  0.11492151E+00 
   0.31099975E+01 -0.14052631E+00  0.11344030E+00 
   0.31199975E+01 -0.13827287E+00  0.11192081E+00 
   0.31299975E+01 -0.13598168E+00  0.11036396E+00 
   0.31399975E+01 -0.13365462E+00  0.10877068E+00 
   0.31499975E+01 -0.13129358E+00  0.10714195E+00 
   0.31599975E+01 -0.12890047E+00  0.10547873E+00 
   0.31699975E+01 -0.12647712E+00  0.10378201E+00 
   0.31799974E+01 -0.12402543E+00  0.10205280E+00 
   0.31899974E+01 -0.12154723E+00  0.10029212E+00 
   0.31999974E+01 -0.11904434E+00  0.98500974E-01 
   0.32099974E+01 -0.11651856E+00  0.96680418E-01 
   0.32199974E+01 -0.11397168E+00  0.94831467E-01 
   0.32299974E+01 -0.11140544E+00  0.92955180E-01 
   0.32399974E+01 -0.10882155E+00  0.91052584E-01 
   0.32499974E+01 -0.10622170E+00  0.89124732E-01 
   0.32599974E+01 -0.10360754E+00  0.87172665E-01 
   0.32699974E+01 -0.10098068E+00  0.85197419E-01 
   0.32799973E+01 -0.98342732E-01  0.83200052E-01 
   0.32899973E+01 -0.95695220E-01  0.81181601E-01 
   0.32999973E+01 -0.93039669E-01  0.79143114E-01 
   0.33099973E+01 -0.90377562E-01  0.77085637E-01 
   0.33199973E+01 -0.87710351E-01  0.75010218E-01 
   0.33299973E+01 -0.85039452E-01  0.72917908E-01 
   0.33399973E+01 -0.82366258E-01  0.70809767E-01 
   0.33499973E+01 -0.79692133E-01  0.68686850E-01 
   0.33599973E+01 -0.77018403E-01  0.66550225E-01 
